ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2016/10/28,26.0525,39.1584
2016/10/31,26.0113,37.9211
2016/11/01,25.5417,38.3766
2016/11/02,25.5646,38.6078
2016/11/03,25.2905,37.9959
2016/11/04,25.0626,38.0979
2016/11/07,25.4241,40.0490
2016/11/08,25.5738,39.9810
2016/11/09,25.5323,42.5848
2016/11/10,24.8208,43.5094
2016/11/11,24.9682,42.8975
2016/11/14,24.3418,42.8092
2016/11/15,24.6642,42.7412
2016/11/16,25.3274,41.8370
2016/11/17,25.3182,41.9458
2016/11/18,25.3435,41.1436
2016/11/21,25.7281,41.0756
2016/11/22,25.7442,40.0626
2016/11/23,25.6129,40.9124
2016/11/25,25.7419,41.1368
2016/11/28,25.6912,40.4229
2016/11/29,25.6659,41.8710
2016/11/30,25.4494,41.3339
2016/12/01,25.2123,40.2190
2016/12/02,25.3067,40.4025
2016/12/05,25.1248,41.3747
2016/12/06,25.3182,41.8914
2016/12/07,25.5669,40.7832
2016/12/08,25.8179,41.4019
2016/12/09,26.2393,41.8370
2016/12/12,26.0896,42.1769
2016/12/13,26.5248,42.1429
2016/12/14,26.5248,41.9254
2016/12/15,26.6699,42.1633
2016/12/16,26.7044,42.2993
2016/12/19,26.8587,42.2993
2016/12/20,26.9301,42.2585
2016/12/21,26.9554,41.7758
2016/12/22,26.7781,41.9186
2016/12/23,26.8311,42.3809
2016/12/27,27.0015,42.4896
2016/12/28,26.8863,42.3333
2016/12/29,26.8794,42.6460
2016/12/30,26.6699,42.5712
2017/01/03,26.7459,42.4284
2017/01/04,26.7159,43.0267
2017/01/05,26.8518,43.3530
2017/01/06,27.1511,43.3666
2017/01/09,27.3998,43.6521
2017/01/10,27.4275,43.5570
2017/01/11,27.5748,41.9844
2017/01/12,27.4597,42.0806
2017/01/13,27.4113,42.5681
2017/01/17,27.6324,42.4789
2017/01/18,27.6301,42.3415
2017/01/19,27.5817,42.1493
2017/01/20,27.6324,41.9913
2017/01/23,27.6508,41.8608
2017/01/24,27.6255,41.5999
2017/01/25,28.0653,42.1493
2017/01/26,28.0791,42.0737
2017/01/27,28.0814,41.2016
2017/01/30,28.0077,41.4969
2017/01/31,27.9433,41.9638
2017/02/01,29.6473,41.8128
2017/02/02,29.5966,41.8128
2017/02/03,29.7232,41.6617
2017/02/06,30.0019,41.6480
2017/02/07,30.2874,41.5862
2017/02/08,30.4048,41.5587
2017/02/09,30.6245,41.7784
2017/02/10,30.5552,41.4900
2017/02/13,30.8257,41.5518
2017/02/14,31.2259,41.7647
2017/02/15,31.3392,42.3347
2017/02/16,31.3022,42.2179
2017/02/17,31.3877,42.4171
2017/02/21,31.6144,42.4583
2017/02/22,31.7092,42.1355
2017/02/23,31.5751,42.5338
2017/02/24,31.6051,42.6368
2017/02/27,31.6676,42.7261
2017/02/28,31.6814,42.4651
2017/03/01,32.3290,43.1450
2017/03/02,32.1370,43.4334
2017/03/03,32.3267,43.4952
2017/03/06,32.2249,43.6394
2017/03/07,32.2666,43.7355
2017/03/08,32.1463,44.0445
2017/03/09,32.0723,44.2917
2017/03/10,32.1787,45.2394
2017/03/13,32.1926,45.2188
2017/03/14,32.1440,45.0951
2017/03/15,32.4839,45.6995
2017/03/16,32.5371,45.2531
2017/03/17,32.3753,45.1089
2017/03/20,32.7152,45.1844
2017/03/21,32.3406,44.8754
2017/03/22,32.7060,44.9922
2017/03/23,32.5903,45.0814
2017/03/24,32.5256,45.0608
2017/03/27,32.5811,45.3904
2017/03/28,33.2564,45.3081
2017/03/29,33.3304,45.1638
2017/03/30,33.2865,44.9509
2017/03/31,33.2240,44.7450
2017/04/03,33.2333,44.6557
2017/04/04,33.4807,44.7106
2017/04/05,33.3073,44.6076
2017/04/06,33.2240,44.6900
2017/04/07,33.1500,45.0059
2017/04/10,33.1107,44.6145
2017/04/11,32.7545,44.5105
2017/04/12,32.7938,44.6422
2017/04/13,32.6204,44.4758
2017/04/17,32.8008,44.6006
2017/04/18,32.6551,44.1429
2017/04/19,32.5348,44.0042
2017/04/20,32.9419,44.2330
2017/04/21,32.9026,44.2608
2017/04/24,33.2194,44.8433
2017/04/25,33.4252,45.1485
2017/04/26,33.2286,45.1069
2017/04/27,33.2541,45.8212
2017/04/28,33.2217,45.7310
2017/05/01,33.8993,46.1056
2017/05/02,34.1144,46.2096
2017/05/03,34.0103,46.2859
2017/05/04,33.8877,46.6257
2017/05/05,34.4497,46.4593
2017/05/08,35.3864,45.9183
2017/05/09,35.6130,45.8906
2017/05/10,35.4442,45.7588
2017/05/11,35.7507,45.2872
2017/05/12,36.2500,45.8143
2017/05/15,36.1571,46.2373
2017/05/16,36.1037,46.3622
2017/05/17,34.8915,45.3358
2017/05/18,35.4233,45.5161
2017/05/19,35.5440,45.4814
2017/05/22,35.7600,45.3843
2017/05/23,35.7159,45.6617
2017/05/24,35.6091,45.7241
2017/05/25,35.7321,45.9946
2017/05/26,35.6718,45.8143
2017/05/30,35.6857,45.7865
2017/05/31,35.4744,45.7865
2017/06/01,35.5719,46.2651
2017/06/02,36.0990,46.6396
2017/06/05,35.7461,46.8199
2017/06/06,35.8668,47.0696
2017/06/07,36.0805,47.6799
2017/06/08,35.9922,47.6868
2017/06/09,34.5966,48.3179
2017/06/12,33.7699,48.2208
2017/06/13,34.0415,48.3179
2017/06/14,33.7095,48.9074
2017/06/15,33.5074,48.9629
2017/06/16,33.0384,49.2750
2017/06/19,33.9835,49.4761
2017/06/20,33.6746,49.3929
2017/06/21,33.8744,49.4761
2017/06/22,33.8186,50.7522
2017/06/23,33.9696,50.3777
2017/06/26,33.8628,50.4470
2017/06/27,33.3774,50.2043
2017/06/28,33.8651,50.5718
2017/06/29,33.3658,50.2667
2017/06/30,33.4447,50.2875
2017/07/03,33.3240,50.2251
2017/07/05,33.4610,50.2667
2017/07/06,33.1452,49.7466
2017/07/07,33.4819,49.9546
2017/07/10,33.6863,49.8159
2017/07/11,33.7954,49.8229
2017/07/12,33.8442,50.2987
2017/07/13,34.3156,50.8235
2017/07/14,34.6105,51.1594
2017/07/17,34.7313,50.8725
2017/07/18,34.8520,50.5436
2017/07/19,35.0703,50.9215
2017/07/20,34.9124,51.7892
2017/07/21,34.8961,52.2230
2017/07/24,35.3188,51.7192
2017/07/25,35.4697,50.7465
2017/07/26,35.6369,50.7955
2017/07/27,34.9635,50.1937
2017/07/28,34.7173,49.2910
2017/07/31,34.5385,48.9202
2017/08/01,34.8450,49.2490
2017/08/02,36.4915,49.4800
2017/08/03,36.1269,49.6759
2017/08/04,36.3173,49.6759
2017/08/07,36.8793,49.8369
2017/08/08,37.1742,50.0118
2017/08/09,37.4018,50.3966
2017/08/10,36.2105,49.2910
2017/08/11,36.7141,49.4240
2017/08/14,37.2666,49.5569
2017/08/15,37.6746,49.2211
2017/08/16,37.5230,49.2770
2017/08/17,36.8027,48.8782
2017/08/18,36.7187,48.9552
2017/08/21,36.6511,49.4730
2017/08/22,37.2503,50.2077
2017/08/23,37.2969,50.0468
2017/08/24,37.1314,50.4596
2017/08/25,37.2689,50.7186
2017/08/28,37.6443,51.3063
2017/08/29,37.9800,51.7052
2017/08/30,38.0826,51.7262
2017/08/31,38.2341,52.6919
2017/09/01,38.2458,52.7758
2017/09/05,37.7865,52.6569
2017/09/06,37.7469,53.9164
